data_julho_2026,data_ref_julho_2025,eixo_sentido,rota_principal,antecedencia,pax_atual,grupos_atual,cash_atual,gmv_atual,pax_julho25,grupos_julho25,cash_julho25,gmv_julho25,ticket_medio_atual,lf_atual,yield_atual,ticket_medio_julho25,lf_julho25
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,23,7,2,909.3,909.3,10,2,1089.22,1111.0,129.9,0.072,0.215,108.922,0.095
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,23,5,2,794.5,794.5,11,2,1529.9,1529.9,158.9,0.058,0.254,139.0818181818182,0.119
2026-07-02,2025-07-03,DTI-BHZ,BHZ-DTI,44,0,3,0.0,0.0,1,3,48.9,48.9,,0.0,,48.9,0.006
2026-07-02,2025-07-03,BHZ-DTI,BHZ-DTI,44,2,3,79.8,79.8,0,3,0.0,0.0,39.9,0.012,0.154,,0.0
2026-07-02,2025-07-03,BHZ-DTI,BHZ-DTI,43,2,3,79.8,79.8,0,3,0.0,0.0,39.9,0.012,0.154,,0.0
2026-07-02,2025-07-03,DTI-BHZ,BHZ-DTI,43,0,3,0.0,0.0,1,3,48.9,48.9,,0.0,,48.9,0.006
2026-07-02,2025-07-03,DTI-BHZ,BHZ-DTI,42,0,3,0.0,0.0,1,3,48.9,48.9,,0.0,,48.9,0.006
2026-07-02,2025-07-03,BHZ-DTI,BHZ-DTI,42,3,3,127.7,127.7,0,3,0.0,0.0,42.56666666666666,0.021,0.148,,0.0
2026-07-02,2025-07-03,DTI-BHZ,BHZ-DTI,41,0,3,0.0,0.0,1,3,48.9,48.9,,0.0,,48.9,0.006
2026-07-02,2025-07-03,BHZ-DTI,BHZ-DTI,41,3,3,127.7,127.7,0,3,0.0,0.0,42.56666666666666,0.021,0.148,,0.0
2026-07-02,2025-07-03,BHZ-DTI,BHZ-DTI,40,3,3,127.7,127.7,6,3,207.4,207.4,42.56666666666666,0.021,0.148,34.56666666666667,0.026
2026-07-02,2025-07-03,DTI-BHZ,BHZ-DTI,40,0,3,0.0,0.0,1,3,48.9,48.9,,0.0,,48.9,0.006
2026-07-02,2025-07-03,DTI-BHZ,BHZ-DTI,39,0,3,0.0,0.0,1,3,48.9,48.9,,0.0,,48.9,0.006
2026-07-02,2025-07-03,BHZ-DTI,BHZ-DTI,39,3,3,127.7,127.7,6,3,207.4,207.4,42.56666666666666,0.021,0.148,34.56666666666667,0.026
2026-07-02,2025-07-03,BHZ-DTI,BHZ-DTI,38,3,3,127.7,127.7,6,3,207.4,207.4,42.56666666666666,0.021,0.148,34.56666666666667,0.026
2026-07-02,2025-07-03,DTI-BHZ,BHZ-DTI,38,0,3,0.0,0.0,0,3,0.0,0.0,,0.0,,,0.0
2026-07-02,2025-07-03,BHZ-DTI,BHZ-DTI,37,3,3,127.7,127.7,6,3,207.4,207.4,42.56666666666666,0.021,0.148,34.56666666666667,0.026
2026-07-02,2025-07-03,DTI-BHZ,BHZ-DTI,37,0,3,0.0,0.0,0,3,0.0,0.0,,0.0,,,0.0
2026-07-02,2025-07-03,DTI-BHZ,BHZ-DTI,36,0,3,0.0,0.0,0,3,0.0,0.0,,0.0,,,0.0
2026-07-02,2025-07-03,BHZ-DTI,BHZ-DTI,36,3,3,127.7,127.7,6,3,207.4,207.4,42.56666666666666,0.021,0.148,34.56666666666667,0.026
